Type,Product,Energy (kcal),Protein (g),Total Fat (g),Monounsaturated fats (g),Polyunsaturated fats (g),Saturated fats (g),Trans fats (g),Carbohydrate (g),Total sugar (g),Added sugar (g)
Non-Veg,Chicken breast,165,31,3.6,1.1,0.6,1,0,0,0,0
,Eggs,155,13,11,2.7,3.3,3.3,0,1.1,1.1,0
,Egg whites,52,11,0.2,0,0,0,0,0.7,0.7,0
,Goat,143,27,3.3,1.6,0.8,1.1,0,0,0,0
Veg,Paneer,265,18,21,11,1.4,7,0,1.2,1.2,0
,Tofu,144,15,8,1.1,4.2,1.1,0,2,0.1,0
,Soya chunks,345,52,0.5,0.1,0.1,0,0,33,1,0
,Soya Chap,336,52,6.8,1,3.6,1,0,11,2,0
Dry Fruits,Almonds,576,21,49,30,12,3.7,0,22,4.4,0
,Walnuts,654,15,65,6.1,9.1,6.1,0,14,2.6,0
,Pistachios,562,21,45,13,15,5.6,0,28,7,0
,Chia seeds,486,17,31,2.3,23,3.3,0,42,0,0
,Flaxseeds,534,18,42,8,27,3.7,0,29,1.6,0
,Hemp seeds,553,32,48,3.8,21,4,0,2.6,1.2,0
,Sunflower seeds,584,20,51,5.3,24,3.7,0,20,2.6,0
,Pumpkin seeds,446,19,19,3.5,5.2,3.5,0,54,1.3,0
,Cashew nuts,553,18,44,8.4,8.7,9.2,0,30,6,0
Dairy-Products,Yogurt,59,3.5,3,0,0,2,0,4.5,4.5,0
,Makhan (Butter),717,0.9,81.1,31.5,3.7,51.4,3,0.1,0.1,0.1
,Low-fat Milk,42,3.4,1,0.5,0.2,0.6,0,4.7,4.7,0
,High-Fat Milk,61,3.3,3.8,1.9,0.3,2,0.1,4.7,4.7,0
,Ghee (Clarified Butter),900,0,100,50.9,3.7,45.9,2.8,0,0,0
Bakery,Brown Bread,250,10,2,0.4,0.7,0.4,0,47,4.2,0
,Rice,130,2.7,0.3,0.1,0.1,0.1,0,28,0,0
,Brown Rice,111,2.6,0.9,0.2,0.3,0.2,0,23,0.4,0
Dals,Peanuts,567,25,49,24,16,7,0,16,4.7,0
,Chickpeas,269,14,4,0.5,1.3,0.5,0,45,8,0
,Moong dal,347,25,1.2,0.2,0.5,0.2,0,61,1,0
,Chana dal,350,22,1.5,0.4,0.6,0.2,0,61,1,0
,Toor dal,349,22,1.5,0.4,0.6,0.2,0,63,2,0
,Masoor dal,346,24,1.2,0.3,0.6,0.2,0,59,2,0
,Urad dal,353,25,1.7,0.4,0.8,0.2,0,59,0.9,0
,Split peas,347,25,1.2,0.2,0.5,0.2,0,61,1,0
,Black gram dal,347,25,1.2,0.2,0.5,0.2,0,61,1,0
,Green gram dal,347,25,1.2,0.2,0.5,0.2,0,61,1,0
,Green Peas,81,5,0.4,0.1,0.2,0,0,14,5,0
Vegetables,Spinach,23,2.9,0.4,0.1,0.1,0,0,3.6,0.4,0
,Broccoli,34,2.8,0.4,0.1,0.2,0,0,6.6,1.7,0
,Kale,35,2,1.4,0.2,0.1,0.1,0,4.4,0.5,0
,Carrots,41,0.9,0.2,0,0,0.1,0,9.6,4.7,0
,Beetroot,43,1.6,0.2,0,0,0.1,0,9.6,6.8,0
,Cauliflower,25,1.9,0.3,0,0,0.1,0,4.9,1.9,0
,Cabbage,25,1.3,0.1,0,0,0,0,6,3.2,0
,Bell peppers (Capsicum),31,1.3,0.3,0,0.1,0,0,6,4.2,0
,Cucumbers,16,0.7,0.1,0,0.1,0,0,3.6,1.7,0
,Tomatoes,18,0.9,0.2,0,0.1,0,0,3.9,2.6,0
